tender_id,department,estimated_cost,participating_bidders,bid_amounts,winning_bidder,winning_bid,tender_date,location,winning_bidder_normalized,bidders_normalized,bid_deviation,bid_deviation_zscore,bid_above_estimate,win_margin,bid_variance,bid_coefficient_variation,complementary_bid_score,dept_hhi,temporal_anomaly_score,bidder_set_repetition,iso_forest_score,lof_score,statistical_score,anomaly_score,is_anomaly,bid_gap_anomaly,price_anomaly_score
T00001,Transport,1053295,"Prime Engineering Inc,Tech Services LTD,Best Services Ltd,Elite Infrastructure Corp,Global Constructions Inc","1024567,1005105,1005108,1444503,1228028",Tech Services LTD,1005105.6606086816,2024-03-04 15:29:58.932842,East,tech services,"['prime engineering', 'tech services', 'best services', 'elite infrastructure', 'global constructions']",-0.045751037830160005,0.6433145497108665,0,105329.5,30035521165.360004,0.15182946153949942,0.08145757320917554,0.07317073170731707,0.5751902266524166,0.5,0.9257640146473067,0.5914939123370432,0.14924173932854348,0.6146389100090237,False,0.09203203504421276,0.22298190823634745
T00002,Health,247249,"Best Projects Inc,Global Solutions PVT LTD","231593,245312",Best Projects Inc,231593.41633135037,2024-05-02 15:29:58.932842,Central,best projects,"['best projects', 'global solutions']",-0.0633190980293131,0.51933729867855,0,24724.9,47052740.25,0.0287667355133622,0.0,0.05903319224771664,1.0,0.5,0.04938636521099993,0.06173300518742981,0.06729305613540408,0.05818436193385143,False,1.0,0.2164942931617607
T00003,Housing,1128278,"Royal Infrastructure LTD,Global Engineering Corp,Elite Infrastructure PVT LTD,Global Projects Ltd,Global Services Inc,Global Infrastructure PVT LTD,Elite Services Inc,Global Solutions Corp","1328408,831867,1035706,972593,980222,735480,994811,1271550",Global Infrastructure PVT LTD,735480.2773444495,2025-07-14 15:29:58.932842,North,global infrastructure,"['royal infrastructure', 'global engineering', 'elite infrastructure', 'global projects', 'global services', 'global infrastructure', 'elite services', 'global solutions']",-0.34813913118535544,-1.4906287618499539,0,112827.8,34929808990.234375,0.18344105554177687,0.07246373158191458,0.06461538461538462,0.8050239874851736,0.5,0.23545173225185456,0.005652689805408552,0.25092701369122533,0.15889088775544113,False,0.13058907387080454,0.46764341840129797
T00004,Housing,23244879,"Global Engineering Inc,Royal Infrastructure LTD,Global Solutions PVT LTD,United Constructions Inc,Crown Engineering Ltd","23744852,22938533,22840466,23662250,23677821",Best Projects Inc,22840466.076308,2025-08-26 15:29:58.932842,Central,best projects,"['global engineering', 'royal infrastructure', 'global solutions', 'united constructions', 'crown engineering']",-0.017397936280588906,0.8434015000348067,0,2324487.9,157441823454.64,0.016976556474476302,0.012482155649313036,0.06461538461538462,1.0,0.5,0.09061258902145322,0.031154196354882077,0.10353084848957499,0.07303171645518376,False,0.0,0.26112933600781496
T00005,Education,903212,"Elite Solutions PVT LTD,Best Services Ltd,Global Projects PVT LTD,United Solutions PVT LTD,United Constructions Inc,Tech Services LTD,Global Constructions Inc","957345,795400,736306,874459,811778,902213,862700",Best Projects Inc,736306.7854269549,2026-03-04 15:29:58.932842,West,best projects,"['elite solutions', 'best services', 'global projects', 'united solutions', 'united constructions', 'tech services', 'global constructions']",-0.18479074079290925,-0.3378842828445032,0,90321.20000000001,4623338399.265306,0.08012623576253539,0.023350428833248407,0.04711111111111112,1.0,0.5,0.2986741941614883,0.11074390784396529,0.07203491962576163,0.17623877531642357,False,0.4578543883058267,0.1527917708650304
T00006,PWD,896619,"Prime Projects Inc,Global Infrastructure PVT LTD","1562892,1138377",Global Infrastructure PVT LTD,1138377.142004752,2024-10-20 15:29:58.932842,East,global infrastructure,"['prime projects', 'global infrastructure']",0.26963307938461273,2.8689703949376666,1,89661.90000000001,45053246306.25,0.15715391543752213,0.0,0.05197378448407254,0.8050239874851736,0.6666666666666667,1.0,0.9237069073389922,0.37115912680558144,0.8160871992700427,False,1.0,0.890733215136126
T00007,Transport,694064,"Best Services Inc,Elite Infrastructure PVT LTD","666842,670612",Best Services Inc,666842.3583729804,2024-10-25 15:29:58.932842,South,best services,"['best services', 'elite infrastructure']",-0.03922065058412426,0.6893992881374255,0,69406.40000000001,3553225.0,0.002818788534035563,0.0,0.07317073170731707,1.0,0.5,0.4392144477225301,0.7236118336229315,0.07753951708217023,0.4483348001275806,False,1.0,0.18344889015819363
T00008,PWD,1876661,"United Projects PVT LTD,Royal Solutions Inc","1711493,2318495",United Projects PVT LTD,2480273.189982944,2025-12-10 15:29:58.932842,South,united projects,"['united projects', 'royal solutions']",0.32164156977895536,3.2359926840428725,1,187666.1,92112857001.0,0.15062129217258216,0.0,0.05197378448407254,0.9308354915638678,0.5,1.0,1.0,0.3835404307241941,0.8458851076810485,False,1.0,0.9491828594061522
T00009,Transport,837177,"Global Projects Ltd,Crown Solutions Corp,Global Engineering Inc,Royal Infrastructure LTD","887775,822929,853481,846293",Crown Solutions Corp,822929.943368956,2024-05-15 15:29:58.932842,South,crown solutions,"['global projects', 'crown solutions', 'global engineering', 'royal infrastructure']",-0.017017974252809164,0.8460828801739223,0,83717.70000000001,539550438.75,0.027243365938956557,0.012749368603073298,0.07317073170731707,0.7666864893256929,0.5,0.36817555271542973,0.02234854001802879,0.10734012042222353,0.18192724019803785,False,0.49094810203675765,0.23417130159608968
T00010,Water Supply,35518,"Global Services Inc,Global Constructions Inc,Global Solutions PVT LTD,United Projects Corp,Crown Engineering Ltd,Prime Constructions LTD","32005,35966,35811,35843,35903,34912",Global Services Inc,32005.426911199225,2024-07-17 15:29:58.932842,Central,global services,"['global services', 'global constructions', 'global solutions', 'united projects', 'crown engineering', 'prime constructions']",-0.09889557657527943,0.26827520294690443,0,3551.8,2010406.2222222227,0.04042638122514322,0.03381273080545451,0.056640625,0.6807563921392009,0.5,0.2685744888600075,0.04396398961234345,0.05455472655985529,0.13645587354828703,False,0.0,0.09899483720619426
