tender_id,department,estimated_cost,participating_bidders,bid_amounts,winning_bidder,winning_bid,tender_date,location
T00001,Transport,1053295,"Elite Infrastructure Corp,Best Projects Ltd,Global Infrastructure PVT LTD,Prime Projects Inc,Best Projects Inc","1024567,1005105,1005108,1444503,1228028",Best Projects Ltd,1005105.6606086817,2024-03-04 13:17:22.872395,East
T00002,Health,247249,"Global Engineering Inc,Elite Services Ltd","231593,245312",Global Engineering Inc,231593.41633135034,2024-05-02 13:17:22.872395,Central
T00003,Housing,1128278,"Global Infrastructure Corp,Global Infrastructure Inc,Crown Solutions Corp,Tech Solutions PVT LTD,Crown Projects Corp,Tech Infrastructure LTD,Crown Solutions LTD,Prime Solutions Ltd","1328408,831867,1035706,972593,980222,735480,994811,1271550",Tech Infrastructure LTD,735480.2773444495,2025-07-14 13:17:22.872395,North
T00004,Housing,23244879,"Tech Services LTD,Global Infrastructure Corp,Elite Services Ltd,Prime Engineering PVT LTD,Elite Solutions PVT LTD","23744852,22938533,22840466,23662250,23677821",Best Projects Ltd,22840466.076308,2025-08-26 13:17:22.872395,Central
T00005,Education,903212,"Prime Constructions LTD,Global Infrastructure PVT LTD,Royal Infrastructure LTD,Global Solutions PVT LTD,Prime Engineering PVT LTD,Best Projects Ltd,Best Projects Inc","957345,795400,736306,874459,811778,902213,862700",Best Projects Ltd,736306.7854269549,2026-03-04 13:17:22.872395,West
T00006,PWD,896619,"Global Services Inc,Tech Infrastructure LTD","1562892,1138377",Tech Infrastructure LTD,1138377.142004752,2024-10-20 13:17:22.872395,East
T00007,Transport,694064,"Elite Services Inc,Crown Solutions Corp","666842,670612",Elite Services Inc,666842.3583729804,2024-10-25 13:17:22.872395,South
T00008,PWD,1876661,"Royal Solutions Inc,Global Projects PVT LTD","1711493,2318495",Royal Solutions Inc,2480273.1899829437,2025-12-10 13:17:22.872395,South
T00009,Transport,837177,"Tech Solutions PVT LTD,Prime Engineering Inc,Tech Services LTD,Global Infrastructure Corp","887775,822929,853481,846293",Prime Engineering Inc,822929.943368956,2024-05-15 13:17:22.872395,South
T00010,Water Supply,35518,"Crown Projects Corp,Best Projects Inc,Elite Services Ltd,United Projects PVT LTD,Elite Solutions PVT LTD,Elite Infrastructure PVT LTD","32005,35966,35811,35843,35903,34912",Crown Projects Corp,32005.426911199225,2024-07-17 13:17:22.872395,Central
T00011,Water Supply,141993,"Best Projects Corp,United Projects PVT LTD,United Constructions Inc,Elite Services Ltd","141993,141993,141993,141993,141993",Elite Services Ltd,113807.7664456439,2024-06-11 13:17:22.872395,West
T00012,Water Supply,83121,"Elite Infrastructure PVT LTD,Best Services Ltd,Global Constructions LTD,Global Projects PVT LTD,Elite Services Ltd,Best Projects Inc,Elite Solutions PVT LTD","83121,83121,83121,83121,83121",Global Projects PVT LTD,73059.44512815872,2024-04-28 13:17:22.872395,Northeast
T00013,Transport,5226899,"Best Projects Corp,Crown Engineering Ltd,Best Services Inc","5318692,4923485,5323709",Crown Engineering Ltd,4923485.460915781,2024-09-14 13:17:22.872395,West
T00014,Health,25362,"Royal Infrastructure LTD,Tech Infrastructure LTD","34084,22864",Tech Infrastructure LTD,22864.784842458917,2025-06-20 13:17:22.872395,Northwest
T00015,PWD,148690,"Crown Constructions Ltd,Global Engineering Inc,Best Projects Inc,Crown Solutions LTD,United Projects PVT LTD,Prime Engineering Inc","134493,178563,158794,133741,164764,151605",Crown Solutions LTD,133741.86492768227,2024-06-12 13:17:22.872395,Northeast
T00016,Health,2137892,"Best Services Ltd,Crown Solutions LTD,Crown Engineering Inc,Crown Constructions Ltd,Prime Solutions Ltd","1857830,2002282,1976640,1595388,2268331",Crown Constructions Ltd,1595388.5430048583,2025-07-09 13:17:22.872395,Northwest
T00017,Education,739660,"Elite Services Ltd,Tech Infrastructure LTD,Tech Solutions PVT LTD,Prime Engineering Inc,United Solutions PVT LTD,Elite Solutions PVT LTD,Global Constructions Inc","741249,737216,731438,728413,734855,752764,734429",Prime Engineering Inc,728413.1847040813,2025-06-12 13:17:22.872395,West
T00018,PWD,8466622,"Global Infrastructure Corp,Best Services Ltd,Global Services Ltd,Crown Solutions Corp,Best Projects PVT LTD,Global Services Inc,Crown Projects Corp","8767460,5768299,8421844,8569228,13856854,8147078,8992951",Best Services Ltd,5768299.751768641,2024-10-12 13:17:22.872395,Central
T00019,Housing,474632,"Best Services Ltd,Crown Services Corp,Global Engineering Inc","375704,596514,551656",Best Services Ltd,375704.96183692705,2025-07-31 13:17:22.872395,Central
T00020,PWD,1637876,"Best Projects PVT LTD,Best Projects Inc","1365502,1841852",Best Projects PVT LTD,1365502.9052396049,2024-09-10 13:17:22.872395,Central
T00021,PWD,13363622,"Global Services Inc,Global Engineering Corp,Royal Solutions Inc","14259793,13267820,13196052",Best Projects Ltd,13196052.074759468,2025-04-21 13:17:22.872395,Central
T00022,PWD,580613,"Global Services Inc,Global Projects Ltd,Global Solutions PVT LTD,Global Services Ltd,Prime Solutions Ltd,Tech Services LTD,Best Projects PVT LTD","578135,583002,577529,583535,579998,586392,577100",Best Projects PVT LTD,577100.8474333424,2025-11-28 13:17:22.872395,West
T00023,Education,234955,"Tech Solutions PVT LTD,Prime Constructions LTD,Prime Projects Inc","276468,183684,245890",Prime Constructions LTD,183684.78125777742,2024-11-03 13:17:22.872395,West
T00024,Education,3552199,"Crown Constructions Ltd,United Constructions Inc","3741712,4153417",Crown Constructions Ltd,3741712.5481059346,2025-06-15 13:17:22.872395,Northwest
T00025,Transport,78193,"Global Infrastructure Corp,Tech Services LTD","60044,82210",Global Infrastructure Corp,60044.67129947704,2025-11-30 13:17:22.872395,North
T00026,Education,840738,"Elite Services Inc,Best Projects Inc,Global Infrastructure PVT LTD,Global Constructions Inc","818764,814018,804316,805815",Global Infrastructure PVT LTD,804316.3552129737,2025-08-04 13:17:22.872395,South
T00027,Energy,649925,"Crown Solutions Corp,Prime Projects Inc,Tech Projects LTD,Prime Constructions LTD,Global Solutions PVT LTD,Crown Constructions Ltd","509528,752768,536978,559263,518412,758128",Crown Solutions Corp,509528.60437868367,2024-08-12 13:17:22.872395,Northwest
T00028,Housing,3351597,"Tech Solutions PVT LTD,Elite Infrastructure PVT LTD,Global Infrastructure Inc,Prime Solutions Ltd","2817665,3450811,2548392,2872207",Global Infrastructure Inc,2548392.421218135,2026-01-16 13:17:22.872395,Central
T00029,PWD,1867990,"United Solutions PVT LTD,Best Services Inc,Global Constructions Inc,Global Engineering Corp,Tech Services LTD,Global Projects PVT LTD","1780588,3227627,1903351,1409989,1855134,1540735",Global Engineering Corp,1409989.0424346747,2024-06-30 13:17:22.872395,Northeast
T00030,Water Supply,2165438,"Prime Solutions Ltd,Crown Services Corp,Prime Engineering Inc,Elite Services Ltd,Best Services Ltd,Global Engineering Inc,United Projects Corp,Best Projects Corp","2228440,2137470,2203589,2204756,2201372,2154191,2123468,2202537",Best Projects Ltd,2123468.0537913213,2024-09-28 13:17:22.872395,Northeast
T00031,PWD,1016849,"Global Infrastructure Inc,United Projects Corp,Prime Solutions Ltd,Crown Solutions LTD","1002145,858430,751066,929977",Prime Solutions Ltd,751066.701084869,2024-12-12 13:17:22.872395,North
T00032,Transport,1806607,"Tech Infrastructure LTD,Crown Constructions Ltd,Best Projects Ltd,Elite Services Inc,Prime Engineering PVT LTD","1827130,1838125,1820772,1811669,1777497",Prime Engineering PVT LTD,1777497.249355269,2025-05-30 13:17:22.872395,Northeast
T00033,Transport,545619,"Global Infrastructure PVT LTD,Global Services Inc,Tech Infrastructure LTD,United Solutions PVT LTD,Best Projects Corp,Global Infrastructure Inc,Royal Solutions Inc,Prime Projects Inc","434122,677582,673630,414215,452304,604818,604667,604819",United Solutions PVT LTD,414215.7843928409,2024-08-03 13:17:22.872395,North
T00034,Housing,161733522,"Royal Services Inc,Tech Services LTD","195732788,184237982",Tech Services LTD,184237982.5239236,2025-03-12 13:17:22.872395,Northwest
T00035,Health,311594,"Royal Services Inc,Tech Infrastructure LTD","311118,313817",Royal Services Inc,311118.57192106184,2026-01-31 13:17:22.872395,Northeast
T00036,Transport,1560968,"Best Projects Inc,Crown Solutions LTD,Crown Engineering Ltd","1436773,1586207,1305625",Crown Engineering Ltd,1305625.3049795998,2025-04-24 13:17:22.872395,Northeast
T00037,PWD,302591,"Global Projects PVT LTD,United Projects PVT LTD,Tech Solutions PVT LTD,Best Projects Inc,Best Services Inc,Crown Solutions LTD,Elite Infrastructure PVT LTD","302591,302591,302591,302591,302591",United Projects PVT LTD,234676.43599942463,2025-04-30 13:17:22.872395,South
T00038,Housing,970410,"Crown Projects Corp,Global Solutions Corp,Elite Solutions PVT LTD,United Constructions Inc,Royal Services Inc,Prime Projects Inc,Crown Solutions Corp,United Projects Corp","887864,694986,831602,1352863,907659,910641,1034084,702941",Global Solutions Corp,694986.3400640181,2025-03-30 13:17:22.872395,North
T00039,Water Supply,2064576,"Global Projects PVT LTD,Best Services Inc,Elite Services Inc,Royal Services Inc,Prime Constructions LTD","2659681,2226395,2872535,1583374,2985203",Royal Services Inc,2492823.3094687215,2024-03-28 13:17:22.872395,South
T00040,Energy,167083,"Global Infrastructure Corp,Global Projects PVT LTD,Elite Infrastructure Corp,Best Projects Ltd,Prime Solutions Ltd,Crown Engineering Ltd,Global Services Inc,Tech Solutions PVT LTD","159209,159192,161810,161322,160585,159375,160641,160582",Best Projects Ltd,159192.42072310855,2025-08-07 13:17:22.872395,Northeast
T00041,PWD,73312,"Royal Services Inc,Elite Services Ltd,Global Services Ltd,Best Projects Corp,Global Engineering Corp","72342,73014,73651,73708,71978",Global Engineering Corp,71978.61310257633,2024-04-12 13:17:22.872395,Central
T00042,PWD,4343857,"Elite Solutions PVT LTD,Prime Solutions Ltd,Royal Solutions Inc,Best Projects Corp,Crown Constructions Ltd,Global Solutions PVT LTD","3259553,3569626,4764455,4520282,3852488,4404924",Elite Solutions PVT LTD,3259553.53284683,2025-08-09 13:17:22.872395,West
T00043,Water Supply,280517,"Tech Solutions PVT LTD,Elite Solutions PVT LTD,Global Infrastructure PVT LTD,Best Projects Corp,Elite Services Inc,Global Projects PVT LTD,Tech Projects LTD","385228,218999,429766,189846,272129,315543,296732",Best Projects Corp,189846.6743516065,2025-09-06 13:17:22.872395,Northeast
T00044,Water Supply,196479,"Elite Services Ltd,Prime Projects Inc","189365,199189",Elite Services Ltd,189365.5025728976,2025-01-19 13:17:22.872395,Northwest
T00045,Education,196615,"Global Services Ltd,Global Constructions LTD,Prime Engineering PVT LTD,Global Constructions Inc,Tech Infrastructure LTD","183121,211378,220855,173349,234299",Global Constructions Inc,173349.074013298,2025-08-05 13:17:22.872395,Northeast
T00046,Health,1143916,"Crown Engineering Inc,Best Projects PVT LTD,Crown Engineering Ltd,Tech Projects LTD,Global Projects Ltd,Prime Projects Inc,Global Constructions LTD","992460,800053,896141,1000617,1443174,1560536,1047654",Best Projects PVT LTD,800053.3558721377,2024-07-12 13:17:22.872395,West
T00047,Housing,271167,"Global Constructions Inc,Tech Services LTD,Best Projects Corp,Global Services Inc","285733,244226,327852,258498",Tech Services LTD,244226.78699844462,2025-09-16 13:17:22.872395,North
T00048,Water Supply,1800050,"Royal Infrastructure LTD,Best Projects PVT LTD,Tech Services LTD,Crown Services Corp,Crown Projects Corp","1945991,1770621,1787040,1832455,1832494",Best Projects Ltd,1770621.8233019551,2025-11-15 13:17:22.872395,East
T00049,Water Supply,8805083,"Crown Services Corp,Tech Solutions PVT LTD,United Projects Corp,Tech Projects LTD","10895769,11204480,6930951,10272442",United Projects Corp,6930951.286243639,2024-08-24 13:17:22.872395,North
T00050,PWD,1359935,"Best Projects Inc,Best Projects PVT LTD,Prime Projects Inc,Global Solutions Corp,Elite Solutions PVT LTD,United Solutions PVT LTD,Elite Infrastructure Corp,Royal Solutions Inc","1347149,1360522,1357586,1369715,1355123,1348766,1349471,1366284",Best Projects Inc,1347149.0856621787,2025-02-10 13:17:22.872395,Northwest
T00051,Energy,145660,"Elite Services Inc,United Constructions Inc,United Projects PVT LTD,United Projects Corp,Global Projects Ltd,Elite Solutions PVT LTD,Crown Engineering Inc,Prime Engineering Inc","151514,143170,147535,146861,143220,143241,148495,144927",United Constructions Inc,143170.74638028032,2024-11-09 13:17:22.872395,Central
T00052,Health,720639,"Prime Engineering PVT LTD,Crown Constructions Ltd,Elite Infrastructure PVT LTD,Best Projects Corp,Global Solutions Corp,Crown Engineering Ltd,Global Solutions PVT LTD","630991,945922,479490,986481,678356,719981,628709",Elite Infrastructure PVT LTD,479490.0442913259,2025-04-17 13:17:22.872395,South
T00053,PWD,465129,"Best Projects Ltd,United Constructions Inc,Global Infrastructure Inc","429549,467905,469706",Best Projects Ltd,411896.6438564187,2025-06-22 13:17:22.872395,Central
T00054,Water Supply,1046951,"Global Engineering Corp,Global Services Ltd,Royal Infrastructure LTD,Tech Projects LTD,Crown Services Corp,Best Projects Corp","1065726,977498,1147306,1061637,1274537,1150972",Global Services Ltd,977498.89562852,2025-06-22 13:17:22.872395,Central
T00055,Energy,542470,"Crown Projects Corp,Royal Infrastructure LTD,Prime Solutions Ltd,Best Projects Inc,United Projects Corp,Best Services Inc,Global Solutions PVT LTD","497574,786919,689671,780044,530567,659442,405679",Global Solutions PVT LTD,405679.27831423125,2025-09-16 13:17:22.872395,South
T00056,Water Supply,1620706,"Royal Infrastructure LTD,Elite Services Inc,Crown Solutions Corp,Global Constructions Inc","1608939,1611199,1626129,1593331",Global Constructions Inc,1593331.2797014788,2025-07-13 13:17:22.872395,South
T00057,Education,834841,"Global Infrastructure Corp,Global Engineering Inc,Global Infrastructure Inc,United Solutions PVT LTD","1214970,697538,921152,641105",United Solutions PVT LTD,641105.8950440561,2024-10-30 13:17:22.872395,East
T00058,Energy,7799354,"Crown Solutions Corp,Tech Services LTD,Elite Services Inc","9874235,7100788,5536784",Elite Services Inc,5536784.980837034,2024-10-26 13:17:22.872395,Northeast
T00059,Energy,3810122,"United Constructions Inc,United Projects PVT LTD,Best Services Ltd,Tech Services LTD,Crown Solutions Corp,Crown Engineering Inc","3723831,4880386,2769801,3379697,3814119,3846091",Best Services Ltd,2769801.5578411277,2025-05-02 13:17:22.872395,East
T00060,Water Supply,254553,"Global Projects Ltd,Crown Engineering Inc,Crown Projects Corp,Crown Constructions Ltd,Royal Services Inc,Prime Projects Inc,Crown Solutions Corp,United Projects PVT LTD","288322,260751,282138,293486,203279,187295,328666,272046",Best Projects PVT LTD,187295.24679566853,2025-10-23 13:17:22.872395,North
T00061,Water Supply,162695,"Global Engineering Corp,Global Solutions Corp,Prime Engineering Inc,Crown Solutions Corp,Best Services Inc,Best Projects Corp","205971,164906,245679,231121,154792,197589",Best Services Inc,154792.33627295672,2025-09-06 13:17:22.872395,Northeast
T00062,PWD,1316421,"Tech Solutions PVT LTD,Best Projects PVT LTD,Global Constructions LTD,Elite Services Ltd","1730902,1626778,926046,1039006",Global Constructions LTD,926046.1507760724,2025-07-14 13:17:22.872395,West
